City,Country,Latitude,Longitude,complete_years,uncertainty_max_months,variability_max_months,exact_match,circular_distance,uncertainty_tie,variability_tie,split
Beaumont,United States,29.74N,94.15W,30,1,2,False,1,False,False,confirmation
Beirut,Lebanon,34.56N,35.03E,45,12,12,True,0,False,False,confirmation
Belfast,United Kingdom,55.45N,5.67W,97,1,1,True,0,False,False,confirmation
Belgaum,India,15.27N,74.17E,43,2,1,False,1,False,False,confirmation
Bellary,India,15.27N,77.50E,43,1,1,True,0,False,False,confirmation
Benha,Egypt,29.74N,31.38E,38,12,3,False,3,False,False,confirmation
Berezniki,Russia,58.66N,55.38E,95,12,12,True,0,False,False,confirmation
Bergamo,Italy,45.81N,10.38E,97,1,1,True,0,False,False,confirmation
Bergisch Gladbach,Germany,50.63N,6.34E,97,1,1,True,0,False,False,confirmation
Bhadreswar,India,23.31N,88.25E,43,1,1,True,0,False,False,confirmation
Bhairab Bazar,Bangladesh,24.92N,90.44E,43,1,1,True,0,False,False,confirmation
Bharatpur,India,26.52N,77.01E,43,2,1,False,1,False,False,confirmation
Bharatpur,Nepal,28.13N,84.55E,43,1,1,True,0,False,False,confirmation
Bhatpara,India,23.31N,88.25E,43,1,1,True,0,False,False,confirmation
Bhavnagar,India,21.70N,71.83E,41,1,1,True,0,False,False,confirmation
Bhimavaram,India,16.87N,82.05E,43,2,1,False,1,False,False,confirmation
Bhopal,India,23.31N,77.77E,43,1,1,True,0,False,False,confirmation
Bhuj,India,23.31N,69.03E,41,1,1,True,0,False,False,confirmation
Bhusawal,India,21.70N,75.29E,43,1,1,True,0,False,False,confirmation
Bidar,India,18.48N,77.75E,43,1,1,True,0,False,False,confirmation
Bielsko Biala,Poland,50.63N,19.01E,97,1,1,True,0,False,False,confirmation
Bijapur,India,16.87N,75.35E,43,1,1,True,0,False,False,confirmation
Bila Tserkva,Ukraine,49.03N,29.39E,97,1,12,False,1,False,False,confirmation
Biratnagar,Nepal,26.52N,87.76E,43,1,1,True,0,False,False,confirmation
Birmingham,United Kingdom,52.24N,2.63W,97,2,1,False,1,False,False,confirmation
Biysk,Russia,52.24N,84.09E,29,1,1,True,0,False,False,confirmation
Blagoveshchensk,Russia,50.63N,128.03E,29,1,1,True,0,False,False,confirmation
Bochum,Germany,52.24N,7.88E,97,1,1,True,0,False,False,confirmation
Bokaro,India,23.31N,86.50E,43,1,1,True,0,False,False,confirmation
Bologna,Italy,44.20N,11.18E,97,1,1,True,0,False,False,confirmation
Bonn,Germany,50.63N,6.34E,97,1,1,True,0,False,False,confirmation
Boulogne Billancourt,France,49.03N,2.45E,97,1,1,True,0,False,False,confirmation
Bratislava,Slovakia,47.42N,17.76E,97,1,1,True,0,False,False,confirmation
Bremen,Germany,53.84N,9.55E,97,1,1,True,0,False,False,confirmation
Bremerhaven,Germany,53.84N,9.55E,97,1,1,True,0,False,False,confirmation
Bristol,United Kingdom,52.24N,2.63W,97,2,1,False,1,False,False,confirmation
Brownsville,United States,26.52N,96.72W,26,"1,12",11,False,1,True,False,confirmation
Brunswick,Germany,52.24N,10.51E,97,1,1,True,0,False,False,confirmation
Budapest,Hungary,47.42N,20.13E,97,1,1,True,0,False,False,confirmation
Budaun,India,28.13N,79.09E,43,3,1,False,2,False,False,confirmation
Bukan,Iran,36.17N,45.75E,27,12,12,True,0,False,False,confirmation
Bulandshahr,India,28.13N,77.27E,43,3,1,False,2,False,False,confirmation
Burgas,Bulgaria,42.59N,28.36E,97,1,12,False,1,False,False,confirmation
Burhanpur,India,21.70N,77.02E,43,1,1,True,0,False,False,confirmation
Bursa,Turkey,39.38N,29.13E,97,1,12,False,1,False,False,confirmation
Buzau,Romania,45.81N,26.54E,97,1,12,False,1,False,False,confirmation
Bytom,Poland,50.63N,19.01E,97,1,1,True,0,False,False,confirmation
Cadiz,Spain,36.17N,5.97W,97,1,1,True,0,False,False,confirmation
Caen,France,49.03N,0.00W,97,1,1,True,0,False,False,confirmation
Cairo,Egypt,29.74N,31.38E,38,12,3,False,3,False,False,confirmation
Cambridge,United States,42.59N,72.00W,81,1,2,False,1,False,False,confirmation
Cape Coral,United States,26.52N,82.39W,59,1,12,False,1,False,False,confirmation
Carrollton,United States,32.95N,96.70W,30,12,2,False,2,False,False,confirmation
Cartagena,Spain,37.78N,0.00W,97,1,1,True,0,False,False,confirmation
Casablanca,Morocco,32.95N,6.70W,73,1,1,True,0,False,False,confirmation
Catania,Italy,37.78N,14.24E,97,1,1,True,0,False,False,confirmation
